"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10877","Client App login for ZARA COAT 3","chrome","2026-09-12","passed","2026-09-12","","class88_ClientAppPO.spec.js","",""
"","7834","Client App login for ADIDAS ORIGINAL","chrome","2026-09-12","passed","2026-09-12","","class88_ClientAppPO.spec.js","",""
